14;Bolo, mistura para;2,1;1,9;0,8;0,01;0,03;1,03;0,97;0,02;0,02;0,01;14;;0,01;1,88;0,01;0,78;0,03;;;;;0,93;0,15
15;Bolo, pronto, aipim;5,0;3,9;1,1;0,98;0,48;1,88;1,28;0,04;0,04;0,01;15;;0,06;3,80;0,02;1,00;0,06;0,04;;;;1,99;NA
16;Bolo, pronto, chocolate;5,5;6,2;3,0;;0,06;2,97;2,33;0,07;0,06;0,02;16;;0,06;6,15;0,04;2,83;0,04;0,02;;;;2,49;0,42
17;Bolo, pronto, coco;4,9;3,0;1,8;1,00;0,48;1,82;1,24;0,03;0,03;0,01;17;;0,05;2,92;0,03;1,69;0,06;0,02;;;;0,89;0,19
18;Bolo, pronto, milho;4,5;3,9;1,5;0,79;0,37;1,79;1,19;0,04;0,05;0,01;18;;0,06;3,79;0,03;1,34;0,08;0,04;;;;1,82;0,17
19;Canjica, branca, crua;0,3;0,2;0,4;;;0,27;0,03;Tr;;Tr;19;;Tr;0,24;Tr;0,38;0,01;;;;;;NA
20;Canjica, com leite integral;0,6;0,4;0,1;0,01;0,08;0,37;0,15;Tr;;;20;;0,02;0,35;;0,15;Tr;;;;;0,02;NA
21;Cereais, milho, flocos, com sal;0,5;0,6;0,9;;Tr;0,39;0,05;0,01;Tr;0,01;21;;Tr;0,60;0,01;0,89;0,03;;;;;;NA
22;Cereais, milho, flocos, sem sal;0,3;0,3;0,6;;Tr;0,27;0,03;0,01;Tr;Tr;22;;Tr;0,33;Tr;0,60;0,02;;;;;;NA
23;Cereais, mingau, milho, infantil;0,3;0,3;0,5;;Tr;0,26;0,03;Tr;Tr;;23;;;0,28;Tr;0,45;0,01;;;;;Tr;Tr
24;Cereais, mistura para vitamina, trigo, cevada e aveia;0,5;0,4;1,0;;Tr;0,43;0,03;Tr;Tr;Tr;24;;Tr;0,34;0,02;0,93;0,06;;;;;;0,01
25;Cereal matinal, milho;0,4;0,3;0,3;;;0,32;0,04;Tr;Tr;Tr;25;;Tr;0,32;;0,31;Tr;;Tr;;;Tr;NA
26;Cereal matinal, milho, açúcar;0,2;0,3;0,3;;;0,20;0,03;Tr;Tr;Tr;26;;Tr;0,29;;0,33;Tr;;Tr;;;Tr;NA
27;Creme de arroz, pó;0,4;0,3;0,4;;0,01;0,37;0,03;Tr;;0,01;27;;Tr;0,31;Tr;0,43;0,01;;;;;;NA
28;Creme de milho, pó;0,3;0,5;0,8;;;0,29;0,04;0,01;;Tr;28;;Tr;0,45;Tr;0,75;0,02;;;;;;NA
29;Curau, milho verde;0,8;0,5;0,2;0,01;0,11;0,48;0,19;Tr;;;29;Tr;0,03;0,44;;0,17;Tr;;;;;0,04;NA
30;Curau, milho verde, mistura para;3,0;4,9;1,4;;0,01;1,55;1,30;0,05;0,06;0,03;30;; ;4,85;0,03;1,38;0,03;;;;;2,81;0,63
31;Farinha, de arroz, enriquecida;0,2;0,1;0,2;Tr;Tr;0,18;0,01;Tr;Tr;Tr;31;;Tr;0,08;Tr;0,17;0,01;;;;;Tr;Tr
32;Farinha, de centeio, integral;0,3;0,3;0,8;;Tr;0,31;0,02;Tr;Tr;;32;;Tr;0,26;0,01;0,73;;;;;;;Tr
33;Farinha, de milho, amarela;0,4;0,4;0,6;Tr;Tr;0,30;0,04;0,01;;;33;;Tr;0,38;Tr;0,63;0,02;;;;;;NA
34;Farinha, de rosca;0,6;0,4;0,8;0,01;0,02;0,44;0,07;Tr;;;34;;0,01;0,37;0,01;0,74;0,05;;;;;0,02;0,01
35;Farinha, de trigo;0,3;0,2;0,4;;Tr;0,30;0,01;Tr;Tr;Tr;35;;Tr;0,13;;0,43;0,01;;Tr;Tr;;;Tr
36;Farinha, láctea, de cereais;3,3;1,4;0,6;0,12;0,50;1,73;0,58;0,01;0,01;;36;0,03;0,11;1,20;;0,59;0,03;;;;;0,13;0,02
37;Lasanha, massa fresca, cozida;0,6;0,4;0,1;;;0,48;0,10;;;;37;;0,02;0,40;Tr;0,10;;;;;;;NA
38;Lasanha, massa fresca, crua;0,5;0,4;0,4;;;0,39;0,08;;;;38;;0,01;0,39;Tr;0,38;0,01;;;;;;NA
41;Macarrão, trigo, cru, com ovos;0,5;0,4;0,8;;;0,46;0,07;Tr;Tr;Tr;41;;Tr;0,38;Tr;0,73;0,03;;;;;;Tr
43;Milho, fubá, cru;0,4;0,9;1,3;;;0,35;0,07;0,02;Tr;Tr;43;;Tr;0,89;Tr;1,29;0,03;;;Tr;;;NA
44;Milho, verde, cru;0,2;0,2;0,6;;;0,16;0,01;Tr;Tr;Tr;44;;Tr;0,23;Tr;0,53;0,02;;;;;;NA
45;Milho, verde, enlatado, drenado;0,6;0,8;0,9;;;0,49;0,06;0,01;;;45;;Tr;0,78;Tr;0,88;0,03;;;;;;NA
46;Mingau tradicional, pó;0,1;Tr;0,1;Tr;;0,12;0,01;;;;46;;;0,05;;0,13;0,01;;;;;;NA
47;Pamonha, barra para cozimento, pré-cozida;0,5;0,7;1,4;;0,01;0,37;0,12;0,01;0,01;0,01;47;; ;0,65;0,02;1,32;0,09;;;;;0,07;0,04
48;Pão, aveia, forma;1,1;1,0;1,6;Tr;0,01;0,62;0,40;0,01;0,01;;48;;0,01;0,94;0,02;1,06;0,59;;;;;0,11;0,01
49;Pão, de soja;0,7;0,6;1,6;;0,01;0,52;0,16;0,01;0,01;;49;;0,01;0,62;0,01;1,41;0,14;;;;;0,01;NA
50;Pão, glúten, forma;0,5;0,6;0,7;;Tr;0,39;0,08;0,01;0,01;;50;;0,01;0,56;0,01;0,69;0,04;;;;;0,11;0,05
51;Pão, milho, forma;0,6;0,6;1,0;0,01;0,01;0,47;0,11;0,01;0,01;;51;;0,01;0,62;0,01;0,98;0,03;;;;;0,07;NA
52;Pão, trigo, forma, integral;0,7;0,8;1,1;Tr;0,01;0,50;0,19;0,01;0,01;;52;;0,02;0,74;0,01;0,98;0,08;;;;;0,21;0,07
53;Pão, trigo, francês;1,0;0,9;0,7;Tr;0,01;0,65;0,29;0,01;0,01;;53;;Tr;0,85;0,01;0,70;0,04;;;;;0,35;0,02
54;Pão, trigo, sovado;0,8;0,7;0,7;0,01;0,01;0,66;0,14;;;;54;;0,02;0,62;0,01;0,68;0,04;;;;;0,06;NA
55;Pastel, de carne, cru;3,7;2,9;1,1;0,07;0,12;2,47;1,00;0,03;0,01;0,01;55;0,01;0,05;2,82;0,01;1,06;0,04;;;;;0,52;0,07
56;Pastel, de carne, frito;4,8;5,9;7,6;;0,12;2,73;1,70;0,06;0,10;0,04;56;;0,08;5,74;0,04;6,97;0,59;0,02;;;;0,54;0,15
59;Pastel, massa, crua;2,1;1,7;0,9;0,02;0,03;1,50;0,49;0,02;0,02;0,01;59;;0,01;1,66;0,01;0,91;0,03;;;;;0,47;0,05
60;Pastel, massa, frita;6,9;10,1;21,2;;0,04;4,92;1,48;0,16;0,20;0,08;60;;Tr;9,75;0,33;19,61;1,32;;;;;;NA
61;Pipoca, com óleo de soja, sem sal;2,4;3,7;9,2;;;1,77;0,46;0,05;0,06;0,03;61;;;3,67;0,03;8,48;0,69;;;;;;NA
63;Torrada, pão francês;0,9;0,8;1,0;;0,01;0,63;0,19;0,01;0,01;0,01;63;;0,01;0,76;0,01;0,99;0,05;;;;;0,38;0,07
64;Abóbora, cabotian, cozida;0,1;0,2;0,2;;Tr;0,12;0,02;Tr;;;64;;Tr;0,22;Tr;0,15;0,08;;;;;;NA
65;Abóbora, cabotian, crua;0,1;0,1;0,0;;;0,11;0,01;;;;65;;;0,08;;0,04;0,01;;;;;;NA
